shortcode,url,caption,date,location,likes
DRB07m_Adks,https://www.instagram.com/p/DRB07m_Adks/,"Join the Fun! Fun Run Lamsel Fest 2025 Menunggu Kamu! 🏃‍♂️✨
Siapkan sepatu lari dan energi terbaikmu!
Fun Run 5KM ini GRATIS untuk 5000 peserta dan penuh hadiah seru!❤️
#lamselfest2025 #hut69lampungselatan #thecrownofkrakatoa #pesonalamsel #funrunlamsel",2025-11-14 07:30:09,,0
DRBz9zbEzHK,https://www.instagram.com/p/DRBz9zbEzHK/,"Fun Run Lamsel Fest 2025 Energi Tanpa Batas!
5000 peserta, satu semangat! 🏃‍♂️🏃‍♀️✨
Dari Lapangan Korpri, kita berlari bareng dan rayakan pagi penuh energi!🔥
#lamselfest2025 #hut69lampungselatan #thecrownofkrakatoa #pesonalamsel #funrunlamsel",2025-11-14 07:21:43,,0
DRBzcCnEncb,https://www.instagram.com/p/DRBzcCnEncb/,"‎
Lampung Selatan bersiap menyambut kemeriahan *Lamsel Fest 2025!*🎉Digelar pada *14 sd 16 November 2025 di Lapangan Korpri*, festival ini menghadirkan semangat budaya, olahraga, dan kebanggaan daerah, serta sederet artis & performer kece. Yuk, hadir dan ramaikan bersama, jadikan momen ini ajang kebersamaan dan inspirasi bagi kita semua! 

  #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-14 07:17:06,,2
DRBzQLtEgmw,https://www.instagram.com/p/DRBzQLtEgmw/,"‎ Bupati Lampung Selatan, H. Radityo Egi Pratama, S.Sos., M.M., menyambut gembira antusiasme warga. ""Luar biasa. Ini membuktikan semangat warga Lamsel. Ini adalah pesta dari kita, oleh kita, dan untuk kita. Seluruh rangkaian acara Lamsel Fest 2025 ini GRATIS dan TERBUKA UNTUK UMUM. Mari kita rayakan bersama,"" ujarnya, di siapkan 5.000 Pcs Jersey, Nomor dada (BIB) 6.000 Pcs dan Medali finisher 5.000 Pcs, semuanya GRATIS.
* ""Udah kayak bagi BLT!"" Begitu kata warga di lokasi. Rekaman ini menunjukkan antusiasme gila masyarakat untuk Lamsel Fest 2025. Baru antri Race Pack Fun Run aja udah seramai ini, di luar ekspektasi!
‎
‎#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #FunRunLamsel",2025-11-14 07:15:29,,1
DRByX2tkhhY,https://www.instagram.com/p/DRByX2tkhhY/,"‎Lamsel Fest 2025!*🎉Digelar pada *14 sd 16 November 2025 di Lapangan Korpri*, festival ini menghadirkan semangat budaya, olahraga, dan kebanggaan daerah, serta sederet artis & performer kece. Yuk, hadir dan ramaikan bersama, jadikan momen ini ajang kebersamaan dan inspirasi bagi kita semua! 

  #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-14 07:07:48,,1
DRBxKCLEpzh,https://www.instagram.com/p/DRBxKCLEpzh/,"Lampung Selatan bersiap menyambut kemeriahan *Lamsel Fest 2025!*🎉Digelar pada *14 sd 16 November 2025 di Lapangan Korpri*, festival ini menghadirkan semangat budaya, olahraga, dan kebanggaan daerah, serta sederet artis & performer kece. Yuk, hadir dan ramaikan bersama, jadikan momen ini ajang kebersamaan dan inspirasi bagi kita semua! 
‎#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel",2025-11-14 06:57:10,,1
DRBw16fEg0l,https://www.instagram.com/p/DRBw16fEg0l/,"Bupati Lampung Selatan, H. Radityo Egi Pratama, S.Sos., M.M., menyambut gembira antusiasme warga. ""Luar biasa. Ini membuktikan semangat warga Lamsel. Ini adalah pesta dari kita, oleh kita, dan untuk kita. Seluruh rangkaian acara Lamsel Fest 2025 ini GRATIS dan TERBUKA UNTUK UMUM. Mari kita rayakan bersama,"" ujarnya, di siapkan 5.000 Pcs Jersey, Nomor dada (BIB) 6.000 Pcs dan Medali finisher 5.000 Pcs, semuanya GRATIS.
 #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #funrunlamsel",2025-11-14 06:54:26,,1
DRBO5o9gS3B,https://www.instagram.com/p/DRBO5o9gS3B/,"Kemeriahan dan kebanggaan akan menyatu di *Lamsel Fest 2025!* Mulai dari *Jetski, 1500 Tari Tuping, hingga UMKM Expo*, semua jadi bukti semangat maju masyarakat Lampung Selatan. Tanggal 14 sd 16 November 2025 di *Lapangan Korpri* ayo hadir dan jadi bagian dari sejarah indah ini! ✨
#LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #ProudToBeLamsel #lamselfest2025 #budayalampung #lampunginsta",2025-11-14 01:57:50,,2
DRADbrsEnM9,https://www.instagram.com/p/DRADbrsEnM9/,"Antusiasme publik menyambut Lamsel Fest 2025 meledak di luar ekspektasi, bahkan sebelum acara resmi dibuka. Sebuah video amatir yang viral hari ini (13/11) merekam kerumunan ribuan warga yang berjubel saat mengantri race pack untuk agenda Fun Run. Saking padatnya, perekam video terdengar berseru, ""Udah kayak bagi BLT, ikut Fun Run juga tuh!"".

 #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #FunRunLamsel",2025-11-13 14:58:23,,0
DRADFvwEo0N,https://www.instagram.com/p/DRADFvwEo0N/,"Fenomena antrian yang ""serasa pembagian BLT"" ini menjadi bukti nyata bahwa Lamsel Fest 2025 adalah pesta rakyat yang paling ditunggu-tunggu. Pesta akbar dalam rangka HUT Ke-69 Lampung Selatan ini akan dipusatkan di Lapangan Korpri, Kalianda, dan akan digelar besok, 14-16 November 2025. di siapkan 5.000 Pcs Jersey, Nomor dada (BIB) 6.000 Pcs dan Medali finisher 5.000 Pcs, semuanya GRATIS.

 #LamselFest2025 #HUT69LampungSelatan #TheCrownOfKrakatoa #PesonaLamsel  #FunRunLamsel",2025-11-13 14:55:24,,0
